row_id;organ/stabiliy_class_dose_class_distance_km;D_0.03;D_0.1;D_0.5;D_1.0;D_2.0;D_4.0;D_6.0;D_8.0;D_10.0
1;adrenals;8.80e+02;9.60e+01;4.80e+00;1.40e+00;4.60e-01;1.60e-01;9.00e-02;6.00e-02;4.50e-02
2;bladder_wall;9.00e+02;9.70e+01;4.80e+00;1.40e+00;4.70e-01;1.60e-01;9.00e-02;6.00e-02;4.50e-02
3;brain;5.30e+02;5.00e+01;2.40e+00;7.40e-01;2.40e-01;8.30e-02;4.60e-02;3.10e-02;2.30e-02
4;breast;9.50e+02;1.00e+02;5.00e+00;1.50e+00;4.90e-01;1.70e-01;9.40e-02;6.30e-02;4.70e-02
5;esophagus;8.60e+02;9.50e+01;4.70e+00;1.40e+00;4.60e-01;1.60e-01;8.80e-02;5.90e-02;4.40e-02
6;kidneys;8.90e+02;9.50e+01;4.70e+00;1.40e+00;4.60e-01;1.60e-01;8.90e-02;6.00e-02;4.40e-02
7;liver;8.90e+02;9.60e+01;4.70e+00;1.40e+00;4.60e-01;1.60e-01;8.90e-02;6.00e-02;4.40e-02
8;lli_wall;9.70e+02;1.10e+02;5.30e+00;1.60e+00;5.10e-01;1.80e-01;1.00e-01;6.70e-02;4.90e-02
9;lung;1.20e+03;1.30e+02;6.50e+00;2.00e+00;6.30e-01;2.20e-01;1.20e-01;8.20e-02;6.10e-02
10;muscle;9.60e+02;1.00e+02;5.00e+00;1.50e+00;4.90e-01;1.70e-01;9.50e-02;6.30e-02;4.70e-02
11;ovaries;8.80e+02;9.40e+01;4.70e+00;1.40e+00;4.50e-01;1.60e-01;8.80e-02;5.90e-02;4.40e-02
12;pancreas;8.40e+02;9.10e+01;4.50e+00;1.40e+00;4.40e-01;1.50e-01;8.50e-02;5.70e-02;4.20e-02
13;red_marrow;1.00e+04;1.30e+03;6.40e+01;1.90e+01;6.20e+00;2.20e+00;1.20e+00;8.10e-01;6.00e-01
14;row_id;1.00e+00;2.00e+00;3.00e+00;4.00e+00;5.00e+00;6.00e+00;7.00e+00;8.00e+00;9.00e+00
15;si_wall;8.80e+02;9.50e+01;4.70e+00;1.40e+00;4.60e-01;1.60e-01;8.90e-02;6.00e-02;4.40e-02
16;skin;2.70e+03;2.70e+02;1.30e+01;3.90e+00;1.30e+00;4.40e-01;2.40e-01;1.60e-01;1.20e-01
17;spleen;8.90e+02;9.60e+01;4.80e+00;1.40e+00;4.60e-01;1.60e-01;8.90e-02;6.00e-02;4.40e-02
18;stomach_wall;9.00e+02;9.70e+01;4.80e+00;1.50e+00;4.70e-01;1.60e-01;9.10e-02;6.10e-02;4.50e-02
19;surface_bone;2.10e+04;2.70e+03;1.30e+02;4.00e+01;1.30e+01;4.50e+00;2.50e+00;1.70e+00;1.30e+00
20;testes;9.80e+02;1.00e+02;5.10e+00;1.50e+00;5.00e-01;1.70e-01;9.70e-02;6.50e-02;4.80e-02
21;thymus;9.20e+02;1.00e+02;5.00e+00;1.50e+00;4.80e-01;1.70e-01;9.40e-02;6.30e-02;4.60e-02
22;thyroid;1.00e+05;1.30e+04;6.60e+02;2.00e+02;6.40e+01;2.20e+01;1.20e+01;8.30e+00;6.10e+00
23;uli_wall;9.00e+02;9.80e+01;4.90e+00;1.50e+00;4.70e-01;1.60e-01;9.10e-02;6.10e-02;4.50e-02
24;uterus;8.80e+02;9.50e+01;4.70e+00;1.40e+00;4.60e-01;1.60e-01;8.90e-02;5.90e-02;4.40e-02
