row_id;physical_stack_height_m;stack_exit_velocity_m_s;stack_diameter_m;stack_effluent_temp_deg_c;air_temperature_deg_c;effective_release_height_m;wind_speed_h=10_m_m_s;wind_direction_degrees;wind_from_the;wind_speed_h=h-eff_m_s;stability_class;receptor_height_m;inversion_layer_height;sample_time_min;breathing_rate_m3_sec;distance_coordinates;maximum_dose_distance_km_;maximum_tede_sv;inner_contour_dose_sv;middle_contour_dose_sv;outer_contour_dose_sv;exceeds_inner_dose_out_to_km;exceeds_middle_dose_out_to_km;exceeds_outer_dose_out_to_km;distance_km;tede_sv;respirable_time-integrated_air_concentration_bq-sec_m3;ground_surface_deposition_kbq_m2;ground_shine_dose_rate_sv_hr;arrival_time_hour:min;skin;surface_bone;spleen;breast;uli_wall;thymus;kidneys;pancreas;lung;red_marrow;ovaries;stomach_wall;lli_wall;esophagus;testes;brain;thyroid;liver;adrenals;si_wall;bladder_wall;muscle;uterus;inhalation_plume_passage;submersion_plume_passage;ground_shine
1;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;5.00e-01;9.60e+00;2.90e+12;8.80e+06;1.20e-02;00:02;1.00e+01;9.50e+00;9.50e+00;8.90e+00;9.80e+00;8.70e+00;9.50e+00;9.20e+00;9.80e+00;9.30e+00;9.00e+00;9.50e+00;1.00e+01;8.60e+00;9.80e+00;1.10e+00;9.00e+00;9.50e+00;1.00e+01;9.90e+00;9.80e+00;8.90e+00;9.90e+00;8.38e+00;7.96e-02;1.17e+00
2;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;1.00e+00;2.60e+00;7.90e+11;2.40e+06;3.30e-03;00:05;2.80e+00;2.60e+00;2.60e+00;2.40e+00;2.70e+00;2.40e+00;2.60e+00;2.50e+00;2.60e+00;2.50e+00;2.40e+00;2.60e+00;2.70e+00;2.30e+00;2.70e+00;3.10e-01;2.40e+00;2.60e+00;2.80e+00;2.70e+00;2.60e+00;2.40e+00;2.70e+00;2.27e+00;2.15e-02;3.18e-01
3;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;2.00e+00;7.40e-01;2.20e+11;6.70e+05;9.40e-04;00:11;8.00e-01;7.30e-01;7.30e-01;6.80e-01;7.50e-01;6.70e-01;7.30e-01;7.10e-01;7.50e-01;7.10e-01;6.90e-01;7.30e-01;7.60e-01;6.60e-01;7.50e-01;8.70e-02;6.90e-01;7.30e-01;7.80e-01;7.60e-01;7.50e-01;6.80e-01;7.60e-01;6.41e-01;6.09e-03;8.99e-02
4;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;3.00e+00;3.60e-01;1.10e+11;3.30e+05;4.60e-04;00:16;3.90e-01;3.60e-01;3.60e-01;3.30e-01;3.70e-01;3.30e-01;3.60e-01;3.50e-01;3.70e-01;3.50e-01;3.40e-01;3.60e-01;3.70e-01;3.20e-01;3.70e-01;4.30e-02;3.40e-01;3.60e-01;3.80e-01;3.70e-01;3.70e-01;3.30e-01;3.70e-01;3.15e-01;2.99e-03;4.41e-02
5;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;4.00e+00;2.20e-01;6.70e+10;2.00e+05;2.80e-04;00:22;2.40e-01;2.20e-01;2.20e-01;2.00e-01;2.30e-01;2.00e-01;2.20e-01;2.10e-01;2.20e-01;2.10e-01;2.10e-01;2.20e-01;2.30e-01;2.00e-01;2.30e-01;2.60e-02;2.10e-01;2.20e-01;2.40e-01;2.30e-01;2.20e-01;2.00e-01;2.30e-01;1.92e-01;1.83e-03;2.69e-02
6;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;5.00e+00;1.50e-01;4.60e+10;1.40e+05;1.90e-04;00:27;1.60e-01;1.50e-01;1.50e-01;1.40e-01;1.50e-01;1.40e-01;1.50e-01;1.50e-01;1.50e-01;1.50e-01;1.40e-01;1.50e-01;1.60e-01;1.40e-01;1.50e-01;1.80e-02;1.40e-01;1.50e-01;1.60e-01;1.60e-01;1.50e-01;1.40e-01;1.60e-01;1.32e-01;1.25e-03;1.85e-02
7;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;6.00e+00;1.10e-01;3.40e+10;1.00e+05;1.40e-04;00:33;1.20e-01;1.10e-01;1.10e-01;1.00e-01;1.10e-01;1.00e-01;1.10e-01;1.10e-01;1.10e-01;1.10e-01;1.10e-01;1.10e-01;1.20e-01;1.00e-01;1.10e-01;1.30e-02;1.00e-01;1.10e-01;1.20e-01;1.20e-01;1.10e-01;1.00e-01;1.10e-01;9.75e-02;9.26e-04;1.37e-02
8;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;7.00e+00;8.70e-02;2.60e+10;7.90e+04;1.10e-04;00:38;9.40e-02;8.60e-02;8.60e-02;8.00e-02;8.90e-02;7.90e-02;8.60e-02;8.30e-02;8.80e-02;8.40e-02;8.20e-02;8.60e-02;9.00e-02;7.80e-02;8.90e-02;1.00e-02;8.10e-02;8.60e-02;9.30e-02;8.90e-02;8.80e-02;8.00e-02;8.90e-02;7.57e-02;7.19e-04;1.06e-02
9;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;8.00e+00;7.00e-02;2.10e+10;6.40e+04;8.90e-05;00:44;7.60e-02;6.90e-02;6.90e-02;6.50e-02;7.10e-02;6.30e-02;6.90e-02;6.70e-02;7.10e-02;6.70e-02;6.60e-02;6.90e-02;7.20e-02;6.30e-02;7.10e-02;8.30e-03;6.50e-02;6.90e-02;7.50e-02;7.20e-02;7.10e-02;6.50e-02;7.20e-02;6.09e-02;5.78e-04;8.53e-03
10;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;9.00e+00;5.80e-02;1.80e+10;5.30e+04;7.30e-05;00:50;6.30e-02;5.70e-02;5.70e-02;5.30e-02;5.90e-02;5.20e-02;5.70e-02;5.50e-02;5.90e-02;5.60e-02;5.40e-02;5.70e-02;6.00e-02;5.20e-02;5.90e-02;6.90e-03;5.40e-02;5.70e-02;6.20e-02;5.90e-02;5.90e-02;5.30e-02;5.90e-02;5.03e-02;4.78e-04;7.05e-03
11;;;;;;1.00e+01;3.00e+00;1.95e+02;SSW;3.00e+00;C;1.50e+00;None;1.00e+01;3.33e-04;All;3.40e-02;6.75e+02;7.00e-01;1.00e-01;5.00e-02;2.10e+00;6.40e+00;;1.00e+01;4.90e-02;1.50e+10;4.40e+04;6.20e-05;00:55;5.30e-02;4.80e-02;4.80e-02;4.50e-02;5.00e-02;4.40e-02;4.80e-02;4.70e-02;4.90e-02;4.70e-02;4.60e-02;4.80e-02;5.00e-02;4.40e-02;5.00e-02;5.80e-03;4.50e-02;4.80e-02;5.20e-02;5.00e-02;5.00e-02;4.50e-02;5.00e-02;4.25e-02;4.04e-04;5.95e-03
