row_id;organ/stabiliy_class_dose_class_distance_km;C_0.5;C_1.0;C_2.0;C_3.0;C_4.0;C_5.0;C_6.0;C_7.0;C_8.0;C_9.0;C_10.0
1;adrenals;1.00e+01;2.80e+00;7.80e-01;3.80e-01;2.40e-01;1.60e-01;1.20e-01;9.30e-02;7.50e-02;6.20e-02;5.20e-02
2;bladder_wall;9.80e+00;2.60e+00;7.50e-01;3.70e-01;2.20e-01;1.50e-01;1.10e-01;8.80e-02;7.10e-02;5.90e-02;5.00e-02
3;brain;1.10e+00;3.10e-01;8.70e-02;4.30e-02;2.60e-02;1.80e-02;1.30e-02;1.00e-02;8.30e-03;6.90e-03;5.80e-03
4;breast;8.90e+00;2.40e+00;6.80e-01;3.30e-01;2.00e-01;1.40e-01;1.00e-01;8.00e-02;6.50e-02;5.30e-02;4.50e-02
5;esophagus;8.60e+00;2.30e+00;6.60e-01;3.20e-01;2.00e-01;1.40e-01;1.00e-01;7.80e-02;6.30e-02;5.20e-02;4.40e-02
6;kidneys;9.50e+00;2.60e+00;7.30e-01;3.60e-01;2.20e-01;1.50e-01;1.10e-01;8.60e-02;6.90e-02;5.70e-02;4.80e-02
7;liver;9.50e+00;2.60e+00;7.30e-01;3.60e-01;2.20e-01;1.50e-01;1.10e-01;8.60e-02;6.90e-02;5.70e-02;4.80e-02
8;lli_wall;1.00e+01;2.70e+00;7.60e-01;3.70e-01;2.30e-01;1.60e-01;1.20e-01;9.00e-02;7.20e-02;6.00e-02;5.00e-02
9;lung;9.80e+00;2.60e+00;7.50e-01;3.70e-01;2.20e-01;1.50e-01;1.10e-01;8.80e-02;7.10e-02;5.90e-02;4.90e-02
10;muscle;8.90e+00;2.40e+00;6.80e-01;3.30e-01;2.00e-01;1.40e-01;1.00e-01;8.00e-02;6.50e-02;5.30e-02;4.50e-02
11;ovaries;9.00e+00;2.40e+00;6.90e-01;3.40e-01;2.10e-01;1.40e-01;1.10e-01;8.20e-02;6.60e-02;5.40e-02;4.60e-02
12;pancreas;9.20e+00;2.50e+00;7.10e-01;3.50e-01;2.10e-01;1.50e-01;1.10e-01;8.30e-02;6.70e-02;5.50e-02;4.70e-02
13;red_marrow;9.30e+00;2.50e+00;7.10e-01;3.50e-01;2.10e-01;1.50e-01;1.10e-01;8.40e-02;6.70e-02;5.60e-02;4.70e-02
14;row_id;1.00e+00;2.00e+00;3.00e+00;4.00e+00;5.00e+00;6.00e+00;7.00e+00;8.00e+00;9.00e+00;1.00e+01;1.10e+01
15;si_wall;9.90e+00;2.70e+00;7.60e-01;3.70e-01;2.30e-01;1.60e-01;1.20e-01;8.90e-02;7.20e-02;5.90e-02;5.00e-02
16;skin;1.00e+01;2.80e+00;8.00e-01;3.90e-01;2.40e-01;1.60e-01;1.20e-01;9.40e-02;7.60e-02;6.30e-02;5.30e-02
17;spleen;9.50e+00;2.60e+00;7.30e-01;3.60e-01;2.20e-01;1.50e-01;1.10e-01;8.60e-02;6.90e-02;5.70e-02;4.80e-02
18;stomach_wall;9.50e+00;2.60e+00;7.30e-01;3.60e-01;2.20e-01;1.50e-01;1.10e-01;8.60e-02;6.90e-02;5.70e-02;4.80e-02
19;surface_bone;9.50e+00;2.60e+00;7.30e-01;3.60e-01;2.20e-01;1.50e-01;1.10e-01;8.60e-02;6.90e-02;5.70e-02;4.80e-02
20;testes;9.80e+00;2.70e+00;7.50e-01;3.70e-01;2.30e-01;1.50e-01;1.10e-01;8.90e-02;7.10e-02;5.90e-02;5.00e-02
21;thymus;8.70e+00;2.40e+00;6.70e-01;3.30e-01;2.00e-01;1.40e-01;1.00e-01;7.90e-02;6.30e-02;5.20e-02;4.40e-02
22;thyroid;9.00e+00;2.40e+00;6.90e-01;3.40e-01;2.10e-01;1.40e-01;1.00e-01;8.10e-02;6.50e-02;5.40e-02;4.50e-02
23;uli_wall;9.80e+00;2.70e+00;7.50e-01;3.70e-01;2.30e-01;1.50e-01;1.10e-01;8.90e-02;7.10e-02;5.90e-02;5.00e-02
24;uterus;9.90e+00;2.70e+00;7.60e-01;3.70e-01;2.30e-01;1.60e-01;1.10e-01;8.90e-02;7.20e-02;5.90e-02;5.00e-02
