row_id;organ/stabiliy_class_dose_class_distance_km;A_0.03;B_0.03;C_0.03;D_0.03;E_0.03;F_0.03
1;adrenals;3.90e-01;8.60e-01;1.80e+00;3.10e+00;5.20e+00;7.50e+00
2;bladder_wall;3.80e-01;8.20e-01;1.70e+00;3.00e+00;5.10e+00;7.90e+00
3;brain;6.00e-02;1.40e-01;3.10e-01;6.30e-01;2.10e+00;7.50e+00
4;breast;3.50e-01;7.60e-01;1.60e+00;2.80e+00;5.00e+00;8.70e+00
5;esophagus;3.30e-01;7.30e-01;1.50e+00;2.70e+00;4.50e+00;7.10e+00
6;kidneys;3.70e-01;8.00e-01;1.70e+00;3.00e+00;5.00e+00;7.90e+00
7;liver;3.70e-01;8.00e-01;1.70e+00;2.90e+00;5.00e+00;7.90e+00
8;lli_wall;3.80e-01;8.40e-01;1.70e+00;3.10e+00;5.20e+00;8.00e+00
9;lung;3.80e-01;8.30e-01;1.70e+00;3.00e+00;5.20e+00;8.30e+00
10;muscle;3.50e-01;7.60e-01;1.60e+00;2.80e+00;5.10e+00;8.90e+00
11;ovaries;3.50e-01;7.60e-01;1.60e+00;2.80e+00;4.90e+00;8.00e+00
12;pancreas;3.60e-01;7.80e-01;1.60e+00;2.90e+00;4.80e+00;7.20e+00
13;red_marrow;3.60e-01;7.90e-01;1.60e+00;2.90e+00;5.10e+00;8.40e+00
14;row_id;1.00e+00;2.00e+00;3.00e+00;4.00e+00;5.00e+00;6.00e+00
15;si_wall;3.80e-01;8.30e-01;1.70e+00;3.10e+00;5.10e+00;7.70e+00
16;skin;4.50e-01;1.00e+00;2.20e+00;4.00e+00;1.00e+01;2.80e+01
17;spleen;3.70e-01;8.00e-01;1.70e+00;3.00e+00;5.00e+00;7.90e+00
18;stomach_wall;3.70e-01;8.00e-01;1.70e+00;2.90e+00;5.00e+00;7.80e+00
19;surface_bone;3.80e-01;8.30e-01;1.70e+00;3.10e+00;6.00e+00;1.20e+01
20;testes;3.80e-01;8.30e-01;1.70e+00;3.10e+00;5.40e+00;9.10e+00
21;thymus;3.40e-01;7.40e-01;1.50e+00;2.70e+00;4.70e+00;7.80e+00
22;thyroid;3.50e-01;7.60e-01;1.60e+00;2.80e+00;5.00e+00;8.70e+00
23;uli_wall;3.80e-01;8.30e-01;1.70e+00;3.00e+00;5.10e+00;7.80e+00
24;uterus;3.80e-01;8.30e-01;1.70e+00;3.00e+00;5.10e+00;7.60e+00
